Date,Market,TBonds,TBills,HML,SMB,MOM,GLCGX,DTMVX,DVPEX,TRBCX,Yahoo,Altria
2000-01-31,-0.0398,0.0228,0.0041,0.0022,0.0439,0.0182,-0.05,-0.021,-0.024,-0.032,-0.256,-0.092
2000-02-29,0.0317,0.0264,0.0043,0.1266,-0.2187,0.184,0.045,0.058,0.183,0.011,-0.008,-0.033
2000-03-31,0.0535,0.0367,0.0047,0.0794,-0.1658,-0.0678,0.061,0.042,-0.035,0.087,0.073,0.071
2000-04-28,-0.0595,-0.0076,0.0046,0.0907,-0.0762,-0.0848,-0.05,-0.019,-0.058,-0.031,-0.24,0.036
2000-05-31,-0.039,-0.0054,0.005,0.0374,-0.0478,-0.0913,-0.048,-0.03,-0.06,-0.022,-0.132,0.194
2000-06-30,0.0516,0.0244,0.004,-0.0982,0.1346,0.1641,0.072,0.025,0.097,0.06,0.096,0.036
2000-07-31,-0.0171,0.0173,0.0048,0.0839,-0.0286,-0.0006,-0.037,0.005,-0.065,-0.019,0.039,-0.049
2000-08-31,0.0764,0.024,0.005,-0.0134,-0.0111,0.0574,0.104,0.068,0.091,0.085,-0.056,0.173
2000-09-29,-0.0511,-0.0157,0.0051,0.0686,-0.0179,0.0216,-0.091,-0.014,-0.063,-0.05,-0.251,0.012
2000-10-31,-0.0246,0.0187,0.0056,0.0486,-0.036,-0.0475,-0.05,-0.023,-0.04,-0.023,-0.356,0.244
2000-11-30,-0.1025,0.0319,0.0051,0.1249,-0.0314,-0.0249,-0.153,-0.048,-0.109,-0.097,-0.324,0.043
2000-12-29,0.0203,0.0243,0.005,0.0607,0.0158,0.0685,-0.088,0.084,0.119,-0.022,-0.241,0.167
2001-01-31,0.0395,0.0005,0.0054,-0.0562,0.0689,0.2505,0.064,0.093,0.054,0.014,0.241,0
2001-02-28,-0.0993,0.0191,0.0039,0.1371,-0.0116,0.1266,-0.171,-0.012,-0.074,-0.107,-0.362,0.095
2001-03-30,-0.0703,-0.0074,0.0044,0.0623,0.0058,0.084,-0.117,-0.033,-0.062,-0.085,-0.339,-0.005
2001-04-30,0.0839,-0.0313,0.0039,-0.0447,0.0024,-0.081,0.134,0.069,0.078,0.101,0.281,0.056
2001-05-31,0.0106,0.0037,0.0032,0.0281,0.0296,0.0215,-0.013,0.046,0.027,0.007,-0.103,0.026
